,To_Regime_0,To_Regime_1,To_Regime_2
From_Regime_0,0.5685241405804344,0.43147585941956385,1.6985100481144793e-15
From_Regime_1,0.5565120977291893,0.42483729513430074,0.018650607136509997
From_Regime_2,0.014185140487450851,8.57756741671348e-20,0.9858148595125491
