,0
Gross_CAGR,0.13444934729277191
Net_CAGR,0.12929679378964853
Cost_Drag_CAGR,0.0051525535031233805
Total_Transaction_Costs,83653014.92460522
Annual_Turnover,4.4786394510687835
Average_Rebalance_Turnover,0.7729684348766797
Annual_Volatility,0.2276990935709819
Sharpe_Ratio,0.6488889632387637
Sortino_Ratio,0.8521929688499736
Max_Drawdown,-0.6178052567815375
Calmar_Ratio,0.2092840622030661
Benchmark_Equal_Weight_CAGR,0.13391196727752686
Benchmark_Min_Variance_CAGR,0.09995734691619873
Benchmark_Risk_Parity_CAGR,0.11956262588500977
