Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
APA,2780,1260,1242,278,1260,1242,278,45.32374100719424,44.67625899280576,10.0,3.6446043165467628,3.0,8.382453455265294e-05,0.00429653339230067,0.03532368977417974,3.393001108426593
APD,2561,1146,1086,329,1146,1086,329,44.74814525575947,42.40531042561499,12.846544318625536,3.7977352596641936,3.0,0.0004243719628222923,0.004607930828323068,0.021922516325077322,5.49998012376796
APH,2616,1177,1113,326,1177,1113,326,44.99235474006117,42.54587155963303,12.46177370030581,3.8321865443425076,4.0,0.00044158110620710813,0.006748424955592806,0.026324063773036706,0.9935917761945834
APO,1563,725,673,165,725,673,165,46.38515674984005,43.05822136916187,10.556621880998081,3.458093410108765,3.0,0.000505404786327456,0.004246253050879978,0.028881523012460088,2.9365718282383217
APP,510,215,225,70,215,225,70,42.15686274509804,44.11764705882353,13.725490196078432,4.03921568627451,4.0,-0.002043167517615404,0.00392696442827042,0.06312166216408571,23.39012701540897
APTV,1463,687,591,185,687,591,185,46.958304853041696,40.39644565960355,12.645249487354752,3.774436090225564,4.0,0.0022055648626368137,0.011861992866930654,0.028370663391428293,4.452923647626591
ARE,2706,1223,1201,282,1223,1201,282,45.195861049519586,44.382852919438285,10.42128603104213,3.6171470805617147,3.0,9.544895357644695e-06,0.0023851769922817916,0.021986271744312513,3.8738941295686393
ARES,1208,560,525,123,560,525,123,46.35761589403973,43.46026490066225,10.182119205298013,3.5165562913907285,3.0,0.0006989733376648735,0.009480394754958954,0.02776687111233938,3.6159365649811055
ATO,2747,1290,1196,261,1290,1196,261,46.96032034947215,43.53840553330907,9.501274117218784,3.488532945030943,3.0,0.0005212910332611678,0.0045437398429936555,0.016777819224041465,1.9695557322703294
AVB,2713,1257,1185,271,1257,1185,271,46.332473276815335,43.67858459270181,9.98894213048286,3.5764835974935494,3.0,0.00029010309944647953,0.004698520781554114,0.020273046412926658,5.002125152297391
AVGO,1683,798,705,180,798,705,180,47.41532976827095,41.889483065953655,10.695187165775401,3.6785502079619725,3.0,0.0015607633244733635,0.011804285861459311,0.029649647615684387,4.103296420734992
AVY,2596,1152,1104,340,1152,1104,340,44.37596302003082,42.526964560862865,13.097072419106318,3.8035439137134053,4.0,0.00040386766678211707,0.003292323866591663,0.02271101816884889,3.755217414503545
AWK,1853,878,806,169,878,806,169,47.38262277388019,43.49703184025904,9.120345385860766,3.4549379384781433,3.0,0.0005678568323389664,0.006310337717346433,0.017597763329172816,3.0138588373554587
AXON,2299,1011,902,386,1011,902,386,43.97564158329709,39.23444976076555,16.789908655937364,3.970421922575033,4.0,0.001129002846969676,0.011038553606457323,0.047614744804386225,7.039714910695602
AXP,2646,1206,1108,332,1206,1108,332,45.57823129251701,41.8745275888133,12.54724111866969,3.757747543461829,3.0,0.0005404282633411222,0.007322279044425591,0.02555981117889801,4.266980305818115
AZO,2544,1203,1035,306,1203,1035,306,47.2877358490566,40.68396226415094,12.028301886792454,3.744103773584906,3.0,0.00130455937016958,0.009530012771236952,0.021433667893536817,35.57330082035578
BA,2671,1231,1133,307,1231,1133,307,46.08760763758892,42.41856982403594,11.493822538375142,3.696742792961438,3.0,0.0006236131092483782,0.005791890589549815,0.026990046911259866,7.0719062023847075
BAC,2599,1172,1066,361,1172,1066,361,45.094267025779146,41.01577529819161,13.88995767602924,3.7718353212774143,3.0,0.0003260432935717111,0.005123845531178813,0.02858732372888067,1.4195524043946541
BALL,2613,1191,1114,308,1191,1114,308,45.57979334098737,42.63298890164562,11.78721775736701,3.7259854573287408,3.0,0.0005929930273764727,0.005720634563858663,0.02188604879436638,1.3630362984390738
BAX,2511,1130,1057,324,1130,1057,324,45.001991238550374,42.09478295499801,12.903225806451612,3.7805655117483075,3.0,0.0008338354654263453,0.004667470810928219,0.021715180126789246,1.5927800015934803
