,0
Gross_CAGR,0.13444934729277191
Net_CAGR,0.12929679378964853
Cost_Drag_CAGR,0.0051525535031233805
Annual_Return,0.12929679378964853
Annual_Volatility,0.2276990935709819
Sharpe_Ratio,0.6488889632387637
Sortino_Ratio,0.8521929688499736
Max_Drawdown,-0.6178052567815375
Calmar_Ratio,0.2092840622030661
Information_Ratio,-0.03206989209060042
Alpha,0.006318564853550581
Beta,0.9990857779007071
Total_Transaction_Costs,83653014.92460522
Annual_Turnover,4.4786394510687835
Average_Rebalance_Turnover,0.7729684348766797
Win_Rate,0.5394352482960078
Average_Holding_Period,56.267087974644326
Evaluation_Period,full_history
