Feature,count,mean,std,min,5%,95%,max
nikkei_225_japan_Close,6272.0,19017.19921875,10508.5341796875,7054.97998046875,8694.501953125,39318.609375,72366.34375
shanghai_composite_china_Close,6202.0,2679.60986328125,875.3432006835938,1011.4990234375,1311.2156982421875,4053.0849609375,6092.05712890625
shenzhen_component_china_Close,6203.0,9084.6591796875,3834.1484375,2622.030029296875,3068.051025390625,14826.8681640625,19531.150390625
tsx_composite_canada_Close,6529.0,14432.990234375,5582.7236328125,5695.2998046875,7325.64013671875,25266.220703125,35389.6015625
10y_minus_2y,6619.0,1.0514896510046834,0.9649447136489621,-1.0800000000000005,-0.41000000000000014,2.58,2.91
10y_minus_3m,6619.0,1.363651609004381,1.3379461895518632,-1.8900000000000001,-1.0609999999999993,3.42,3.8499999999999996
1_month_treasury_yield,6223.0,1.7041443033906476,1.8371859822565926,0.0,0.01,5.3,6.02
1_year_treasury_yield,6619.0,2.1265387520773533,1.8944844632528692,0.04,0.11,5.330999999999994,6.44
20_year_treasury_yield,6619.0,3.854029309563378,1.2867489117574678,0.87,1.86,5.81,6.97
30_year_treasury_yield,6619.0,3.9275494787732286,1.1664055261344803,0.99,1.96,5.68,6.75
3_year_treasury_yield,6619.0,2.453698443873697,1.650317938822166,0.1,0.33,4.95,6.88
5_year_treasury_yield,6619.0,2.7965523492974764,1.4822926691642815,0.19,0.69,4.970999999999995,6.83
6_month_treasury_yield,6619.0,2.0674694062547214,1.9837133901415982,0.02,0.06,5.5,6.55
7_year_treasury_yield,6619.0,3.0904396434506722,1.3820587555685513,0.36,1.07,5.14,6.87
treasury_yields_combined_10y_minus_2y,6619.0,1.0514896510046834,0.9649447136489621,-1.0800000000000005,-0.41000000000000014,2.58,2.91
treasury_yields_combined_10y_minus_3m,6619.0,1.363651609004381,1.3379461895518632,-1.8900000000000001,-1.0609999999999993,3.42,3.8499999999999996
treasury_yields_combined_DGS1MO,6223.0,1.7041443033906476,1.8371859822565926,0.0,0.01,5.3,6.02
treasury_yields_combined_DGS1,6619.0,2.1265387520773533,1.8944844632528692,0.04,0.11,5.330999999999994,6.44
treasury_yields_combined_DGS20,6619.0,3.854029309563378,1.2867489117574678,0.87,1.86,5.81,6.97
treasury_yields_combined_DGS30,6619.0,3.9275494787732286,1.1664055261344803,0.99,1.96,5.68,6.75
treasury_yields_combined_DGS3,6619.0,2.453698443873697,1.650317938822166,0.1,0.33,4.95,6.88
treasury_yields_combined_DGS5,6619.0,2.7965523492974764,1.4822926691642815,0.19,0.69,4.970999999999995,6.83
treasury_yields_combined_DGS6MO,6619.0,2.0674694062547214,1.9837133901415982,0.02,0.06,5.5,6.55
treasury_yields_combined_DGS7,6619.0,3.0904396434506722,1.3820587555685513,0.36,1.07,5.14,6.87
treasury_yields_combined_DGS10,6619.0,3.341031877927179,1.2905226317587613,0.52,1.45,5.2309999999999945,6.79
treasury_yields_combined_DGS2,6619.0,2.289542226922496,1.7626367954838367,0.09,0.21,5.01,6.93
treasury_yields_combined_DGS3MO,6619.0,1.9773802689227977,1.9947153577379797,0.0,0.02,5.51,6.42
us10y,6619.0,3.341031877927179,1.2905226317587613,0.52,1.45,5.2309999999999945,6.79
us2y,6619.0,2.289542226922496,1.7626367954838367,0.09,0.21,5.01,6.93
us3m,6619.0,1.9773802689227977,1.9947153577379797,0.0,0.02,5.51,6.42
dow_jones_Close,6668.0,19558.134765625,11196.0751953125,6547.0498046875,8675.653125,42918.6111328125,53055.91015625
nasdaq_100_Close,6668.0,6325.9599609375,6532.56689453125,804.6400146484375,1204.0150085449218,21170.085253906247,30660.599609375
nasdaq_composite_Close,6668.0,6382.36474609375,5794.72265625,1114.1099853515625,1554.9499877929688,19238.448339843744,27093.900390625
nyse_composite_Close,6668.0,10657.0966796875,4397.7666015625,4226.31005859375,5514.17197265625,19799.93906249999,24075.119140625
russell_1000_Close,6667.0,1297.2025146484375,873.294921875,367.54998779296875,492.885009765625,3259.31494140625,4137.60009765625
russell_2000_Close,6668.0,1147.2315673828125,624.2034912109375,327.0400085449219,444.4019943237305,2283.1194580078127,3024.3701171875
russell_3000_Close,6639.0,1368.7938232421875,911.3997802734375,389.6099853515625,520.552001953125,3393.77783203125,4316.22998046875
sp500_Close,6668.0,2361.798095703125,1585.141845703125,676.530029296875,919.2485168457031,5949.008935546874,7609.77978515625
s_p_100_Close,6668.0,1102.59375,763.3582763671875,322.1300048828125,456.906494140625,2893.3739624023438,3782.85009765625
s_p_midcap_400_Close,6668.0,1417.2554931640625,877.37548828125,372.8800048828125,460.92350311279296,3122.2779541015625,3852.5400390625
s_p_smallcap_600_Close,6668.0,670.4853515625,411.6777648925781,170.72999572753906,204.6999969482422,1406.2239807128906,1804.3399658203125
wilshire_5000_Close,6652.0,23897.66015625,15904.83984375,6858.43017578125,9001.9189453125,59369.01953125,76000.671875
sp500_hourly_Close,730.0,5855.2060546875,882.2468872070312,4118.2998046875,4377.70458984375,7364.912109375,7610.509765625
banks_Close,5192.0,39.559471130371094,12.678618431091309,9.3100004196167,20.75,58.66899871826172,69.37999725341797
biotechnology_Close,6388.0,75.04316711425781,49.60062789916992,13.473333358764648,21.47516632080078,156.447998046875,198.22999572753906
clean_energy_Close,4537.0,14.403853416442871,6.582467555999756,6.170000076293945,7.76800012588501,23.579999923706055,52.77000045776367
cloud_computing_Close,3774.0,59.64578628540039,34.42742919921875,15.15999984741211,18.760000228881836,123.74099731445312,155.1699981689453
communication_services_Close,2024.0,72.11152648925781,22.27001190185547,38.970001220703125,46.121498107910156,115.84400177001953,120.08000183105469
consumer_discretionary_Close,6668.0,40.854820251464844,31.43958854675293,8.055000305175781,11.991749811172486,107.71475143432616,124.5199966430664
consumer_staples_Close,6668.0,43.974098205566406,20.52353286743164,17.81999969482422,21.100000381469727,80.17649955749512,90.01000213623047
cybersecurity_Close,2929.0,47.84455490112305,18.50758171081543,19.260000228881836,25.243999481201172,83.45600128173828,111.87999725341797
energy_Close,6668.0,30.69880485534668,11.015486717224121,9.899999618530273,12.353500127792358,46.173000144958486,62.560001373291016
financials_Close,6668.0,24.683910369873047,10.489083290100098,5.020308971405029,11.326970052719117,49.72950077056883,56.400001525878906
healthcare_Close,6668.0,66.6080551147461,42.358497619628906,21.8799991607666,26.533500766754152,145.4464988708496,164.44000244140625
homebuilders_Close,5137.0,45.27738571166992,28.82060432434082,8.229999542236328,14.386000633239746,107.61399841308594,125.54000091552734
industrials_Close,6668.0,58.53484344482422,36.91762924194336,15.359999656677246,22.299999237060547,138.23199386596676,185.55999755859375
insurance_Close,5192.0,27.675296783447266,14.112229347229004,4.889999866485596,11.22366714477539,57.794498443603516,64.41000366210938
materials_Close,6668.0,23.87633514404297,11.44561767578125,8.3149995803833,10.125,45.03825054168701,53.619998931884766
real_estate_Close,2702.0,37.49997329711914,5.11591911315918,25.459999084472656,30.489999771118164,46.46950149536133,51.810001373291016
retail_Close,5042.0,45.25843048095703,22.77385139465332,7.650000095367432,15.275749206542969,87.53849792480469,104.16000366210938
semiconductors_Close,6562.0,64.87078094482422,91.68498229980469,7.349999904632568,12.215250015258789,252.51451110839844,668.9099731445312
software_Close,6281.0,31.013107299804688,29.77456283569336,3.8299999237060547,6.131999969482422,92.2699966430664,117.79000091552734
technology_Close,6668.0,35.054420471191406,36.39362716674805,5.789999961853027,8.25,116.81300086975097,198.2100067138672
transportation_Close,5664.0,37.96015548706055,18.894851684570312,9.654999732971191,14.435750007629395,70.47212982177734,88.18000030517578
utilities_Close,6668.0,22.5634708404541,9.031405448913574,7.614999771118164,11.09000015258789,39.880001068115234,47.72999954223633
3_month_vix_vix3m_Close,5022.0,21.238597869873047,7.584110260009766,11.029999732971191,13.15999984741211,34.78950119018555,72.9800033569336
move_index_Close,5844.0,86.98390197753906,30.561052322387695,36.619998931884766,49.30299758911133,142.1699981689453,264.6000061035156
short_term_vix_vix9d_Close,3897.0,17.526325225830078,8.188786506652832,7.099999904632568,9.758000373840332,31.643999099731445,106.66000366210938
vix_Close,6668.0,19.826887130737305,8.301491737365723,9.140000343322754,11.359999656677246,34.14300136566161,82.69000244140625
vvix_Close,4900.0,93.87274169921875,16.245208740234375,59.7400016784668,71.5999984741211,122.3759994506836,207.58999633789062
vxn_Close,6402.0,25.142467498779297,12.134048461914062,10.3100004196167,14.029999732971191,52.85750198364258,82.48999786376953
