,0
Gross_CAGR,0.13504268535549913
Net_CAGR,0.12973372129654348
Cost_Drag_CAGR,0.005308964058955645
Annual_Return,0.12973372129654348
Annual_Volatility,0.2630428661585346
Sharpe_Ratio,0.5948612231098428
Sortino_Ratio,0.8211727168524529
Max_Drawdown,-0.6178052567815375
Calmar_Ratio,0.2099912875011659
Information_Ratio,0.12704188912262734
Alpha,0.021109342653985376
Beta,1.112948323578552
Total_Transaction_Costs,7384539.296046753
Annual_Turnover,4.588109505112018
Average_Rebalance_Turnover,0.8010984850195587
Win_Rate,0.5218929677134011
Average_Holding_Period,54.92458271085826
Evaluation_Period,dotcom_gfc
