,0
Gross_CAGR,-0.027868042190972275
Net_CAGR,-0.03207374802712826
Cost_Drag_CAGR,0.004205705836155982
Annual_Return,-0.03207374802712826
Annual_Volatility,0.2015896426414986
Sharpe_Ratio,-0.061018629934604565
Sortino_Ratio,-0.07783663509763178
Max_Drawdown,-0.4138663133198285
Calmar_Ratio,-0.07749784651437006
Information_Ratio,-1.2607329180362938
Alpha,-0.14601160978423247
Beta,0.8868123808224483
Total_Transaction_Costs,2216227.6098591206
Annual_Turnover,4.383563529470528
Average_Rebalance_Turnover,0.7578725907282651
Win_Rate,0.5061460592913956
Average_Holding_Period,57.487475271160946
Evaluation_Period,recent_market
